1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,pattern,data
0,484,75,25,0,79,0,0,0,1319,2,75,0,0,203,query_dense_8_167,dblp
0,391,1978,33,269,2030,643,390,0,447,80,411,1244,646,40,query_sparse_24_91,dblp
0,213,56,14,11,56,0,0,0,576,54,56,0,0,30,query_dense_8_82,dblp
0,0,0,25,0,0,0,0,0,0,0,0,0,0,79,query_dense_4_80,dblp
0,495,441,126,186,459,445,297,1360,582,186,408,2471,501,651,query_dense_32_28,dblp
0,332,4185,25,47,4120,891,489,1279,164,57,392,1002,846,32,query_sparse_24_63,dblp
0,215,2091,92,74,2136,256,222,0,278,154,816,844,849,265,query_dense_32_198,dblp
0,0,949,0,0,963,0,0,0,0,0,0,0,0,0,query_dense_4_132,dblp
0,0,0,14,0,0,0,0,0,0,0,0,0,0,56,query_dense_4_98,dblp
0,252,3007,87,109,3093,0,0,0,475,98,1038,0,0,458,query_dense_24_194,dblp
0,545,1417,88,85,1474,615,152,0,852,214,558,1432,450,315,query_dense_32_185,dblp
0,228,3680,70,116,3833,125,55,0,368,37,615,481,498,361,query_dense_24_152,dblp
0,108,322,15,89,332,127,102,0,129,14,211,992,322,46,query_dense_8_194,dblp
0,160,1298,135,41,1343,85,54,0,195,43,314,641,207,763,query_dense_24_150,dblp
0,443,2079,14,210,2121,1255,1034,1289,125,58,428,1764,1023,0,query_sparse_24_95,dblp
0,122,541,11,20,550,297,147,0,189,20,110,764,920,0,query_sparse_8_136,dblp
0,1129,5259,8,428,5395,2696,958,9130,366,36,880,511,480,0,query_sparse_32_130,dblp
0,768,2624,16,262,2668,1822,929,3723,363,43,670,1100,752,0,query_sparse_24_17,dblp
0,106,615,73,38,623,158,57,0,104,95,328,609,612,114,query_dense_16_12,dblp
0,137,1080,57,60,1109,166,15,0,200,85,475,691,472,237,query_dense_16_51,dblp
0,0,0,17,0,0,0,0,0,0,0,0,0,0,68,query_dense_4_142,dblp
0,285,4759,109,37,4912,281,180,0,343,65,824,1016,995,441,query_dense_32_57,dblp
0,394,851,163,326,906,437,101,0,731,124,343,2123,456,859,query_dense_32_98,dblp
0,362,1042,7,120,1053,761,204,2338,378,17,289,373,695,0,query_sparse_8_42,dblp
0,251,324,44,56,324,104,36,0,463,107,324,403,212,165,query_dense_16_95,dblp
0,322,6167,22,163,6301,928,1308,4380,73,18,656,631,1255,29,query_sparse_32_170,dblp
0,214,1009,55,54,1050,404,495,1345,95,57,565,1600,1108,105,query_dense_24_57,dblp
0,1,233,22,14,241,0,0,0,16,27,234,0,0,78,query_dense_8_68,dblp
0,36,160,11,0,0,0,0,0,72,23,160,0,0,0,query_dense_4_187,dblp
0,338,713,50,288,764,267,45,326,681,45,177,865,344,186,query_dense_16_44,dblp
0,7,205,12,0,0,0,0,0,0,0,0,322,375,0,query_dense_4_120,dblp
0,318,302,3,134,304,704,307,1117,593,3,166,202,591,0,query_sparse_8_20,dblp
0,162,1726,34,33,1770,96,128,0,305,17,281,428,680,62,query_sparse_16_88,dblp
0,353,2501,43,90,2550,589,122,2029,418,104,1034,103,327,32,query_sparse_24_82,dblp
0,213,1368,14,19,1390,458,347,4835,93,69,175,0,0,0,query_sparse_8_198,dblp
0,537,2690,16,156,2755,812,107,0,516,57,173,988,860,0,query_sparse_16_82,dblp
0,0,0,9,0,0,0,0,0,0,0,0,0,0,37,query_dense_4_57,dblp
0,493,2318,113,75,2375,367,125,0,827,167,1202,683,491,293,query_dense_32_65,dblp
0,283,2380,6,134,2427,394,125,1027,340,20,519,622,841,0,query_sparse_16_52,dblp
0,124,924,17,50,945,243,73,0,87,49,45,1093,1033,0,query_sparse_8_69,dblp
0,472,4336,27,140,4309,1136,702,3529,173,88,373,1949,1130,0,query_sparse_24_148,dblp
0,273,102,116,10,71,158,39,0,531,154,103,556,93,563,query_dense_16_73,dblp
0,202,797,234,37,818,155,41,0,757,86,271,1260,148,738,query_dense_32_169,dblp
0,0,0,36,0,0,0,0,0,0,0,0,0,0,93,query_dense_4_118,dblp
0,314,3558,18,143,3646,703,833,2502,74,68,809,875,239,0,query_sparse_24_29,dblp
0,115,544,41,32,556,53,103,0,176,52,544,399,118,143,query_dense_16_80,dblp
0,254,1513,33,85,1354,971,611,2571,123,35,744,241,402,53,query_sparse_16_40,dblp
0,1046,139,432,115,120,829,23,0,3188,401,139,2489,67,1384,query_dense_32_77,dblp
0,181,2614,13,39,2673,256,163,3227,92,53,785,422,75,0,query_sparse_16_68,dblp
0,0,981,0,0,1002,0,0,0,0,0,0,0,0,0,query_dense_4_33,dblp
0,390,103,53,0,0,378,40,0,781,5,101,425,194,309,query_dense_8_122,dblp
0,292,3298,59,113,3369,488,621,0,234,113,646,1364,550,110,query_dense_24_74,dblp
0,900,2316,0,304,2393,1889,514,3432,535,8,701,350,168,0,query_sparse_16_70,dblp
0,474,4565,36,245,4657,1037,263,1867,474,116,1168,749,376,27,query_sparse_32_2,dblp
0,397,1035,0,48,1035,798,456,4297,363,4,368,206,161,0,query_sparse_8_40,dblp
0,242,1837,23,76,1876,279,289,0,332,70,367,843,553,19,query_sparse_16_146,dblp
0,550,5248,44,226,5351,1035,546,2515,414,99,1010,1145,1220,32,query_sparse_32_3,dblp
