data,pattern,vertex_count,edge_count,diameter,girth,radius,avg_path_length,avg_eigenvector_centrality,max_eigenvector_centrality,min_eigenvector_centrality,avg_eccentricity,max_eccentricity,min_eccentricity,is_bipartite,is_connected,density,avg_degree,max_degree,min_degree,edge_connectivity,vertex_connectivity,label_count,label_max,label_min,label_mean,label_std
test,query_dense_16_91,16,50,9,3,5.0,3.383,0.433,1.0,0.0,7.0,9.0,5.0,False,True,0.417,6.25,10,2,2,1,10,3,1,1.6,0.699
test,query_dense_16_189,16,62,5,3,3.0,2.592,0.428,1.0,0.006,4.5,5.0,3.0,False,True,0.517,7.75,18,4,2,1,14,2,1,1.143,0.363
test,query_dense_16_96,16,50,7,3,4.0,2.917,0.439,1.0,0.006,5.562,7.0,4.0,False,True,0.417,6.25,12,2,2,1,14,3,1,1.143,0.535
test,query_dense_16_20,16,48,7,3,4.0,3.117,0.382,1.0,0.006,5.75,7.0,4.0,False,True,0.4,6.0,14,4,2,1,13,2,1,1.231,0.439
test,query_dense_16_24,16,52,10,3,5.0,3.85,0.394,1.0,0.0,8.0,10.0,5.0,False,True,0.433,6.5,14,2,2,1,14,3,1,1.143,0.535
test,query_dense_16_43,16,50,8,3,4.0,3.108,0.427,1.0,0.006,6.188,8.0,4.0,False,True,0.417,6.25,12,2,2,1,15,2,1,1.067,0.258
test,query_dense_16_186,16,48,9,3,5.0,3.433,0.437,1.0,0.002,7.062,9.0,5.0,False,True,0.4,6.0,10,2,2,1,14,2,1,1.143,0.363
test,query_dense_16_106,16,50,6,3,3.0,2.842,0.469,1.0,0.185,4.938,6.0,3.0,False,True,0.417,6.25,10,2,2,1,12,4,1,1.333,0.888
test,query_dense_16_63,16,48,5,3,3.0,2.658,0.449,1.0,0.049,4.312,5.0,3.0,False,True,0.4,6.0,10,2,2,1,13,2,1,1.231,0.439
test,query_dense_16_51,16,48,8,3,4.0,3.092,0.384,1.0,0.001,6.25,8.0,4.0,False,True,0.4,6.0,14,2,2,1,12,3,1,1.333,0.651
test,query_dense_16_30,16,48,7,3,4.0,2.75,0.412,1.0,0.012,5.188,7.0,4.0,False,True,0.4,6.0,12,2,2,1,11,3,1,1.455,0.688
test,query_dense_16_131,16,50,5,3,3.0,2.367,0.471,1.0,0.141,3.75,5.0,3.0,False,True,0.417,6.25,12,2,2,1,13,2,1,1.231,0.439
test,query_dense_16_135,16,52,6,3,4.0,2.683,0.41,1.0,0.013,4.688,6.0,4.0,False,True,0.433,6.5,12,2,2,1,11,3,1,1.455,0.82
test,query_dense_16_116,16,52,6,3,3.0,2.642,0.427,1.0,0.004,5.062,6.0,3.0,False,True,0.433,6.5,14,2,2,1,15,2,1,1.067,0.258
test,query_dense_16_37,16,50,6,3,3.0,2.567,0.442,1.0,0.125,4.5,6.0,3.0,False,True,0.417,6.25,12,2,2,1,12,3,1,1.333,0.651
test,query_dense_16_95,16,52,7,3,4.0,3.008,0.493,1.0,0.001,6.0,7.0,4.0,False,True,0.433,6.5,12,2,2,1,11,3,1,1.455,0.82
test,query_dense_16_68,16,48,10,3,5.0,3.808,0.397,1.0,0.0,7.875,10.0,5.0,False,True,0.4,6.0,12,2,2,1,10,5,1,1.6,1.35
test,query_dense_16_71,16,48,6,3,3.0,2.725,0.402,1.0,0.034,4.625,6.0,3.0,False,True,0.4,6.0,12,2,2,1,14,3,1,1.143,0.535
test,query_dense_16_198,16,70,5,3,3.0,2.5,0.454,1.0,0.002,4.375,5.0,3.0,False,True,0.583,8.75,18,2,2,1,7,6,1,2.286,1.799
test,query_dense_16_122,16,52,6,3,3.0,2.958,0.461,1.0,0.007,5.062,6.0,3.0,False,True,0.433,6.5,12,2,2,1,13,4,1,1.231,0.832
test,query_dense_16_86,16,56,5,3,3.0,2.242,0.462,1.0,0.112,3.75,5.0,3.0,False,True,0.467,7.0,14,2,2,1,14,3,1,1.143,0.535
test,query_dense_16_104,16,54,4,3,2.0,2.233,0.467,1.0,0.132,3.5,4.0,2.0,False,True,0.45,6.75,14,2,2,1,13,2,1,1.231,0.439
test,query_dense_16_199,16,66,6,3,3.0,2.517,0.454,1.0,0.001,5.062,6.0,3.0,False,True,0.55,8.25,18,2,2,1,13,3,1,1.231,0.599
test,query_dense_16_133,16,56,5,3,3.0,2.308,0.502,1.0,0.046,3.812,5.0,3.0,False,True,0.467,7.0,14,2,2,1,10,3,1,1.6,0.699
test,query_dense_16_40,16,72,4,3,2.0,1.933,0.553,1.0,0.112,3.125,4.0,2.0,False,True,0.6,9.0,16,2,2,1,11,3,1,1.455,0.688
test,query_dense_16_143,16,48,5,3,3.0,2.492,0.473,1.0,0.095,4.188,5.0,3.0,False,True,0.4,6.0,12,2,2,1,13,3,1,1.231,0.599
test,query_dense_16_38,16,56,7,4,4.0,2.875,0.543,1.0,0.001,5.875,7.0,4.0,False,True,0.467,7.0,12,2,2,1,10,7,1,1.6,1.897
test,query_dense_16_126,16,64,5,3,3.0,2.133,0.565,1.0,0.027,3.812,5.0,3.0,False,True,0.533,8.0,14,2,2,1,9,5,1,1.778,1.394
test,query_dense_16_58,16,48,6,3,3.0,2.45,0.387,1.0,0.043,4.375,6.0,3.0,False,True,0.4,6.0,16,2,2,1,14,2,1,1.143,0.363
test,query_dense_16_156,16,54,5,3,3.0,2.342,0.416,1.0,0.026,4.062,5.0,3.0,False,True,0.45,6.75,18,2,2,1,16,1,1,1.0,0.0
test,query_dense_16_60,16,50,6,3,3.0,2.817,0.373,1.0,0.01,4.812,6.0,3.0,False,True,0.417,6.25,12,2,2,1,12,4,1,1.333,0.888
test,query_dense_16_80,16,58,5,3,3.0,2.308,0.43,1.0,0.013,4.125,5.0,3.0,False,True,0.483,7.25,18,2,2,1,12,4,1,1.333,0.888
test,query_dense_16_99,16,52,7,3,4.0,2.792,0.436,1.0,0.001,5.688,7.0,4.0,False,True,0.433,6.5,14,2,2,1,12,3,1,1.333,0.651
test,query_dense_16_28,16,48,5,3,3.0,2.45,0.495,1.0,0.074,4.062,5.0,3.0,False,True,0.4,6.0,12,2,2,1,12,4,1,1.333,0.888
test,query_dense_16_157,16,52,6,3,3.0,2.658,0.487,1.0,0.024,4.812,6.0,3.0,False,True,0.433,6.5,10,2,2,1,10,5,1,1.6,1.265
test,query_dense_16_42,16,60,6,3,3.0,2.408,0.427,1.0,0.012,4.438,6.0,3.0,False,True,0.5,7.5,18,2,2,1,10,3,1,1.6,0.843
test,query_dense_16_8,16,52,5,3,3.0,2.442,0.434,1.0,0.032,4.125,5.0,3.0,False,True,0.433,6.5,12,2,2,1,11,4,1,1.455,0.934
test,query_dense_16_18,16,50,7,3,4.0,2.708,0.446,1.0,0.024,5.125,7.0,4.0,False,True,0.417,6.25,12,2,2,1,14,3,1,1.143,0.535
test,query_dense_16_2,16,48,10,3,5.0,3.975,0.369,1.0,0.0,8.125,10.0,5.0,False,True,0.4,6.0,14,2,2,1,13,3,1,1.231,0.599
test,query_dense_16_77,16,48,6,3,3.0,2.525,0.441,1.0,0.057,4.438,6.0,3.0,False,True,0.4,6.0,12,2,2,1,12,2,1,1.333,0.492
test,query_dense_16_182,16,50,6,3,3.0,2.675,0.423,1.0,0.004,5.062,6.0,3.0,False,True,0.417,6.25,14,2,2,1,15,2,1,1.067,0.258
test,query_dense_16_125,16,64,6,3,3.0,2.358,0.476,1.0,0.014,4.5,6.0,3.0,False,True,0.533,8.0,16,2,2,1,12,3,1,1.333,0.651
test,query_dense_16_107,16,50,8,3,4.0,3.108,0.383,1.0,0.001,6.375,8.0,4.0,False,True,0.417,6.25,14,2,2,1,10,4,1,1.6,1.075
test,query_dense_16_64,16,50,7,4,4.0,2.917,0.488,1.0,0.003,5.75,7.0,4.0,True,True,0.417,6.25,12,2,2,1,12,2,1,1.333,0.492
test,query_dense_16_152,16,68,4,3,2.0,2.183,0.482,1.0,0.012,3.438,4.0,2.0,False,True,0.567,8.5,14,2,2,1,9,4,1,1.778,1.093
test,query_dense_16_6,16,48,6,3,3.0,2.733,0.427,1.0,0.042,4.688,6.0,3.0,False,True,0.4,6.0,12,2,2,1,12,3,1,1.333,0.651
test,query_dense_16_83,16,50,5,3,3.0,2.45,0.448,1.0,0.031,4.062,5.0,3.0,False,True,0.417,6.25,14,2,2,1,11,3,1,1.455,0.688
test,query_dense_16_200,16,52,6,3,3.0,2.617,0.415,1.0,0.023,4.75,6.0,3.0,False,True,0.433,6.5,14,2,2,1,12,3,1,1.333,0.651
test,query_dense_16_4,16,50,5,3,3.0,2.358,0.501,1.0,0.183,3.875,5.0,3.0,False,True,0.417,6.25,12,4,4,2,12,2,1,1.333,0.492
test,query_dense_16_115,16,54,9,3,5.0,3.3,0.459,1.0,0.0,7.0,9.0,5.0,False,True,0.45,6.75,12,2,2,1,14,3,1,1.143,0.535
test,query_dense_16_151,16,54,10,3,5.0,4.275,0.399,1.0,0.0,8.438,10.0,5.0,False,True,0.45,6.75,14,2,2,1,14,3,1,1.143,0.535
test,query_dense_16_46,16,72,4,3,2.0,2.017,0.597,1.0,0.098,3.25,4.0,2.0,False,True,0.6,9.0,16,2,2,1,13,4,1,1.231,0.832
test,query_dense_16_45,16,48,7,3,4.0,3.0,0.489,1.0,0.003,5.75,7.0,4.0,False,True,0.4,6.0,10,2,2,1,13,2,1,1.231,0.439
test,query_dense_16_187,16,48,8,3,4.0,3.0,0.454,1.0,0.003,6.062,8.0,4.0,False,True,0.4,6.0,10,2,2,1,14,2,1,1.143,0.363
test,query_dense_16_105,16,52,7,3,4.0,2.992,0.475,1.0,0.006,5.625,7.0,4.0,False,True,0.433,6.5,12,4,2,1,12,3,1,1.333,0.651
test,query_dense_16_49,16,48,9,3,5.0,3.233,0.382,1.0,0.002,6.438,9.0,5.0,False,True,0.4,6.0,14,2,2,1,12,2,1,1.333,0.492
test,query_dense_16_41,16,52,9,3,5.0,3.783,0.413,1.0,0.0,7.625,9.0,5.0,False,True,0.433,6.5,12,2,2,1,9,4,1,1.778,1.093
test,query_dense_16_127,16,48,7,3,4.0,2.733,0.465,1.0,0.006,5.375,7.0,4.0,False,True,0.4,6.0,14,2,2,1,13,3,1,1.231,0.599
test,query_dense_16_112,16,74,6,3,3.0,2.55,0.504,1.0,0.0,5.0,6.0,3.0,False,True,0.617,9.25,16,2,2,1,11,4,1,1.455,1.036
test,query_dense_16_82,16,64,5,3,3.0,2.375,0.47,1.0,0.007,4.375,5.0,3.0,False,True,0.533,8.0,16,2,2,1,10,4,1,1.6,0.966
test,query_dense_16_108,16,52,6,3,3.0,2.892,0.437,1.0,0.012,5.0,6.0,3.0,False,True,0.433,6.5,12,2,2,1,14,3,1,1.143,0.535
test,query_dense_16_139,16,48,9,3,5.0,3.417,0.425,1.0,0.001,6.812,9.0,5.0,False,True,0.4,6.0,10,2,2,1,12,3,1,1.333,0.651
test,query_dense_16_146,16,60,6,3,3.0,2.458,0.512,1.0,0.017,4.625,6.0,3.0,False,True,0.5,7.5,14,2,2,1,12,3,1,1.333,0.651
test,query_dense_16_153,16,52,5,3,3.0,2.458,0.519,1.0,0.051,4.125,5.0,3.0,False,True,0.433,6.5,12,2,2,1,11,4,1,1.455,0.934
test,query_dense_16_163,16,48,5,3,3.0,2.517,0.52,1.0,0.14,4.125,5.0,3.0,False,True,0.4,6.0,10,4,4,1,11,2,1,1.455,0.522
test,query_dense_16_197,16,82,4,3,2.0,2.0,0.544,1.0,0.047,3.312,4.0,2.0,False,True,0.683,10.25,18,2,2,1,12,2,1,1.333,0.492
test,query_dense_16_73,16,48,7,3,4.0,3.025,0.353,1.0,0.001,5.375,7.0,4.0,False,True,0.4,6.0,10,2,2,1,13,2,1,1.231,0.439
test,query_dense_16_14,16,56,4,3,3.0,2.2,0.57,1.0,0.18,3.5,4.0,3.0,False,True,0.467,7.0,12,2,2,1,13,2,1,1.231,0.439
test,query_dense_16_166,16,58,5,3,3.0,2.325,0.463,1.0,0.015,4.125,5.0,3.0,False,True,0.483,7.25,16,2,2,1,12,5,1,1.333,1.155
test,query_dense_16_81,16,54,5,3,3.0,2.467,0.433,1.0,0.025,4.125,5.0,3.0,False,True,0.45,6.75,14,2,2,1,13,2,1,1.231,0.439
test,query_dense_16_89,16,52,5,3,3.0,2.525,0.442,1.0,0.019,4.25,5.0,3.0,False,True,0.433,6.5,12,2,2,1,11,4,1,1.455,0.934
test,query_dense_16_155,16,48,7,3,4.0,2.992,0.397,1.0,0.001,6.0,7.0,4.0,False,True,0.4,6.0,14,2,2,1,14,2,1,1.143,0.363
test,query_dense_16_19,16,48,5,3,3.0,2.508,0.428,1.0,0.033,4.062,5.0,3.0,False,True,0.4,6.0,12,2,2,1,13,2,1,1.231,0.439
test,query_dense_16_3,16,50,7,3,4.0,2.867,0.39,1.0,0.01,5.375,7.0,4.0,False,True,0.417,6.25,14,2,2,1,15,2,1,1.067,0.258
test,query_dense_16_75,16,48,6,3,3.0,2.617,0.414,1.0,0.026,4.625,6.0,3.0,False,True,0.4,6.0,14,2,2,1,13,3,1,1.231,0.599
test,query_dense_16_172,16,52,6,3,3.0,2.6,0.434,1.0,0.017,4.688,6.0,3.0,False,True,0.433,6.5,14,2,2,1,14,2,1,1.143,0.363
test,query_dense_16_53,16,54,9,3,5.0,3.85,0.402,1.0,0.0,7.5,9.0,5.0,False,True,0.45,6.75,12,2,2,1,11,3,1,1.455,0.82
test,query_dense_16_101,16,48,8,3,4.0,2.875,0.472,1.0,0.01,5.75,8.0,4.0,False,True,0.4,6.0,10,2,2,1,13,2,1,1.231,0.439
test,query_dense_16_85,16,48,6,3,3.0,2.617,0.529,1.0,0.107,4.562,6.0,3.0,False,True,0.4,6.0,10,2,2,1,12,3,1,1.333,0.651
test,query_dense_16_79,16,56,5,3,3.0,2.4,0.464,1.0,0.04,4.0,5.0,3.0,False,True,0.467,7.0,14,2,2,1,10,3,1,1.6,0.699
test,query_dense_16_21,16,56,7,3,4.0,2.792,0.457,1.0,0.001,5.812,7.0,4.0,False,True,0.467,7.0,14,2,2,1,12,2,1,1.333,0.492
test,query_dense_16_31,16,50,7,3,4.0,3.317,0.361,1.0,0.025,5.875,7.0,4.0,False,True,0.417,6.25,8,4,2,1,13,3,1,1.231,0.599
test,query_dense_16_130,16,52,10,3,5.0,3.917,0.398,1.0,0.0,7.875,10.0,5.0,False,True,0.433,6.5,12,2,2,1,11,4,1,1.455,0.934
test,query_dense_16_137,16,52,6,3,3.0,2.567,0.513,1.0,0.015,4.75,6.0,3.0,False,True,0.433,6.5,10,2,2,1,10,3,1,1.6,0.843
test,query_dense_16_17,16,58,5,3,3.0,2.417,0.525,1.0,0.186,4.125,5.0,3.0,False,True,0.483,7.25,12,2,2,1,12,3,1,1.333,0.778
test,query_dense_16_10,16,52,6,3,3.0,2.6,0.415,1.0,0.004,5.0,6.0,3.0,False,True,0.433,6.5,16,2,2,1,11,3,1,1.455,0.688
test,query_dense_16_33,16,60,4,3,2.0,2.183,0.461,1.0,0.049,3.438,4.0,2.0,False,True,0.5,7.5,16,2,2,1,12,3,1,1.333,0.651
test,query_dense_16_147,16,50,8,3,4.0,3.375,0.397,1.0,0.0,6.812,8.0,4.0,False,True,0.417,6.25,14,2,2,1,10,3,1,1.6,0.699
test,query_dense_16_55,16,66,6,3,3.0,2.458,0.471,1.0,0.001,5.062,6.0,3.0,False,True,0.55,8.25,18,2,2,1,13,3,1,1.231,0.599
test,query_dense_16_161,16,58,4,3,2.0,2.208,0.447,1.0,0.089,3.375,4.0,2.0,False,True,0.483,7.25,16,2,2,1,12,3,1,1.333,0.651
