Data,Pattern,Algorithm,Load and preprocess time,Filtering time,Ordering time,Enumeration time,Total time,#Embeddings
human,query_dense_4_145,GraphQL,0.03880223,0.00102337,1.542e-05,4.05491665,4.09475767,37011858
human,query_dense_4_144,DPiso,0.02671005,0.00050322,2.381e-05,1.68029827,1.70753535,42554404
human,query_dense_8_54,GraphQL,0.02697681,0.00105581,1.614e-05,1355.53048969,1355.55853845,21461382692
human,query_dense_4_57,ORBIT,0.03985997,0.0013443,1.883e-05,9.127e-05,0.041314369999999996,10728
human,query_dense_4_192,DPiso,0.04375344,0.00061005,2.091e-05,1.17367793,1.21806233,15933640
human,query_sparse_8_191,GraphQL,0.02529509,0.00052696,1.549e-05,309.67025934,309.69609687999997,17929510480
human,query_sparse_8_34,DPiso,0.03394799,0.00036964,2.144e-05,150.05716112,150.09150018999998,22142048608
human,query_dense_4_58,VF2++,0.0191063,3.634e-05,3.179e-05,8.779e-05,0.01926222,736
human,query_sparse_8_72,TurboISO,0.03943617,5.744e-05,2.365e-05,0.01059574,0.050113,341760
human,query_sparse_12_155,TurboISO,0.03497884,8.545e-05,2.342e-05,147.50678378,147.54187149,20326722338
human,query_sparse_12_24,TurboISO,0.0331294,0.0001972,2.726e-05,9.33855399,9.37190785,159160976
human,query_dense_4_56,DPiso,0.05323485,0.00015706,1.538e-05,0.01061438,0.06402167,164978
human,query_dense_20_62,GraphQL,0.03689432,0.00054622,1.892e-05,0.0549057,0.09236516,1644864
human,query_dense_4_115,ORBIT,0.04479539,0.00150829,2.053e-05,0.00029357,0.04661778,26644
human,query_sparse_8_174,TurboISO,0.03260138,7.428e-05,2.443e-05,0.00412523,0.03682532,524496
human,query_dense_4_12,ORBIT,0.02903834,0.00152928,2.076e-05,0.01266678,0.04325516,1171646
human,query_dense_4_154,GraphQL,0.0380189,0.00042765,1.517e-05,0.4748896,0.51335132,5862948
human,query_dense_8_100,TurboISO,0.01945581,0.00013607,2.177e-05,640.12355687,640.14317052,60504725352
human,query_dense_8_92,ORBIT,0.01945998,0.00127502,2.934e-05,0.22247126,0.2432356,2830464
human,query_dense_4_75,ORBIT,0.02909673,0.00153847,2.584e-05,0.02906386,0.0597249,2114562
human,query_dense_8_95,GraphQL,0.03204119,0.0005678,1.67e-05,0.77702473,0.8096504200000001,8287368
human,query_dense_16_6,GraphQL,0.03143418,0.00064056,1.85e-05,9.52424935,9.55634259,70156800
human,query_dense_8_72,ORBIT,0.01960282,0.00132408,2.532e-05,0.00452859,0.025480809999999996,337920
human,query_dense_4_148,ORBIT,0.02368878,0.00149048,2.038e-05,7.161e-05,0.02527125,7281
human,query_sparse_8_184,DPiso,0.04145099,8.65e-05,1.517e-05,0.27150969,0.31306235000000004,14257152
human,query_dense_4_4,TurboISO,0.02599809,0.00016119,2.019e-05,0.00369161,0.02987108,76998
human,query_dense_8_121,GraphQL,0.03802738,0.00149033,1.635e-05,501.27905546,501.31858952,2789912736
human,query_sparse_8_87,VF2++,0.02302627,4.558e-05,4.006e-05,1485.36272409,1485.385836,99590185344
human,query_dense_4_146,TurboISO,0.03894362,0.00026604,1.961e-05,0.31667883,0.3559081,5853204
human,query_dense_8_139,VF2++,0.02990366,6.683e-05,3.816e-05,1000.94601848,1000.97602713,137096257440
human,query_sparse_8_4,ORBIT,0.0194852,0.00183379,2.594e-05,9.23446498,9.25580991,1370559744
human,query_sparse_8_191,ORBIT,0.01888139,0.00186562,2.638e-05,73.53175831,73.5525317,14550278080
human,query_dense_8_139,ORBIT,0.01948033,0.00177953,2.832e-05,807.59731941,807.61860759,137096257440
human,query_dense_4_114,ORBIT,0.01905968,0.00197669,2.008e-05,0.15702659,0.17808304,15933640
human,query_dense_4_64,ORBIT,0.03613888,0.0015029,1.941e-05,0.15281933,0.19048052,14712360
human,query_dense_4_198,TurboISO,0.04322206,0.0003757,2.015e-05,2.58634303,2.62996094,37011858
human,query_dense_4_92,DPiso,0.02571179,0.0005218,1.644e-05,0.31474943,0.34099946,3870430
human,query_dense_4_34,TurboISO,0.01972475,0.000144,2.213e-05,7.671e-05,0.019967589999999997,8053
human,query_dense_8_194,ORBIT,0.03472484,0.00170285,2.465e-05,264.29595115,264.33240349,23629172880
human,query_dense_8_137,ORBIT,0.02650649,0.00134498,2.657e-05,0.00916488,0.03704292,1092096
human,query_dense_4_148,VF2++,0.03024426,4.495e-05,3.528e-05,0.00029704,0.030621529999999994,7281
human,query_dense_4_43,VF2++,0.03316335,3.217e-05,3.482e-05,6.75e-05,0.033297839999999995,2605
human,query_sparse_8_4,VF2++,0.03112227,7.321e-05,3.598e-05,9.31251321,9.343744670000001,1370571264
human,query_dense_4_191,DPiso,0.03279138,0.00023045,1.977e-05,0.30524473,0.33828633,5184166
human,query_dense_12_4,DPiso,0.02596224,0.00065262,1.982e-05,61.7225453,61.74917998,896269400
human,query_dense_8_73,ORBIT,0.02593835,0.00183612,2.753e-05,117.7405251,117.7683271,10321620888
human,query_sparse_8_143,ORBIT,0.0309897,0.00174146,2.491e-05,1075.33648205,1075.36923812,175503952604
