Data,Pattern,Order,Call Count,Enumerate time (seconds)
human,query_sparse_8_94,ORBIT,421070819,68.88758286
human,query_dense_20_149,DPiso,543088,0.02626516
human,query_dense_4_195,ORBIT,20621,0.0449166
human,query_dense_4_189,VF2++,68409,0.17243011
human,query_dense_4_12,ORBIT,21256,0.13124309
human,query_dense_4_12,VF2++,21256,0.0864029
human,query_sparse_16_116,GraphQL,18,9.86e-06
human,query_dense_4_32,VF2++,4659,0.0180431
human,query_dense_8_51,VF2++,907143710,245.107223
human,query_dense_16_7,ORBIT,33061753324,1536.95455579
human,query_dense_4_128,VF2++,375,0.00013903
human,query_dense_8_73,DPiso,2662087274,375.62690053
human,query_dense_4_3,DPiso,107264,0.63154506
human,query_dense_4_182,DPiso,32005,0.00533349
human,query_sparse_16_126,GraphQL,0,9.2e-06
human,query_sparse_16_198,ORBIT,0,9.53e-06
human,query_sparse_8_145,TurboISO,606803459,266.21081479
human,query_dense_8_64,VF2++,1332411807,1098.32364519
human,query_dense_4_114,GraphQL,207522,1.16648767
human,query_dense_8_23,ORBIT,139966596,74.77456864
human,query_sparse_20_96,DPiso,0,9.88e-06
human,query_sparse_8_51,DPiso,610616598,439.54895353
human,query_dense_4_133,ORBIT,119296,0.13292883
human,query_dense_8_128,VF2++,99874,0.02242752
human,query_dense_8_199,VF2++,113992650,13.02707053
human,query_dense_4_53,TurboISO,120472,0.66358842
human,query_sparse_16_42,TurboISO,6582762,0.62975533
human,query_dense_4_100,VF2++,244795,0.7774738
human,query_sparse_8_116,VF2++,96398828,24.70879011
human,query_dense_8_157,GraphQL,61868556,38.34090908
human,query_dense_4_154,GraphQL,101287,0.3928702
human,query_dense_4_63,ORBIT,1112161,2.32001387
human,query_dense_8_179,DPiso,3213159554,1682.70429752
human,query_sparse_8_174,GraphQL,10228,0.00091145
human,query_sparse_8_199,DPiso,134526374,10.04867095
human,query_dense_4_3,GraphQL,107264,0.68021224
human,query_dense_4_113,GraphQL,5764,0.02828903
human,query_dense_12_41,VF2++,264781,0.09444024
human,query_dense_8_179,ORBIT,365520761,1661.79256282
human,query_dense_4_124,DPiso,487436,0.97047538
human,query_dense_16_107,DPiso,1905128,0.16421377
human,query_sparse_8_42,DPiso,124293176,35.15787616
human,query_dense_8_23,TurboISO,85717578,78.63589676
human,query_dense_4_106,TurboISO,14901,0.0756105
human,query_dense_4_49,DPiso,3344,0.00773936
human,query_dense_8_164,TurboISO,30418486577,1341.20858269
human,query_dense_4_94,TurboISO,15783,0.08555972
human,query_dense_12_146,TurboISO,90084930,5.53797571
human,query_sparse_16_107,ORBIT,0,9.64e-06
human,query_dense_4_160,TurboISO,487566,2.44293809
human,query_sparse_16_11,GraphQL,0,9.09e-06
human,query_dense_4_187,TurboISO,107264,0.07563186
human,query_sparse_12_148,TurboISO,0,8.83e-06
human,query_dense_4_166,ORBIT,63558,0.39387383
human,query_dense_8_7,GraphQL,3297458,2.68808667
human,query_dense_4_111,DPiso,1600,0.00126624
human,query_dense_16_9,VF2++,7303978,0.26475803
human,query_sparse_20_185,TurboISO,0,9.62e-06
human,query_dense_4_147,GraphQL,484386,2.76881051
human,query_sparse_16_9,GraphQL,0,1.033e-05
human,query_dense_4_164,ORBIT,23477,0.02735041
human,query_sparse_8_191,VF2++,171933190,76.73057658
human,query_sparse_12_59,VF2++,0,7.34e-06
human,query_dense_4_189,GraphQL,68409,0.19135048
human,query_dense_4_85,GraphQL,184,0.00015616
human,query_dense_16_7,DPiso,30276464563,1575.5745567
human,query_sparse_12_61,TurboISO,0,8.3e-06
human,query_dense_4_5,DPiso,20368,0.06929108
human,query_sparse_12_22,VF2++,181317588,10.406667
human,query_dense_4_166,GraphQL,63558,0.42608783
human,query_sparse_20_129,DPiso,0,9.86e-06
